符号,産業分類項目名,industry_name,industry_code
834,助産・看護業,医療，福祉,P
83A,助産所,医療，福祉,P
83B,看護業,医療，福祉,P
835,療術業,医療，福祉,P
836,医療に附帯するサービス業,医療，福祉,P
83C,歯科技工所,医療，福祉,P
83D,その他の医療に附帯するサービス業,医療，福祉,P
840,管理，補助的経済活動を行う事業所,医療，福祉,P
841,保健所,医療，福祉,P
842,健康相談施設,医療，福祉,P
849,その他の保健衛生,医療，福祉,P
850,管理，補助的経済活動を行う事業所,医療，福祉,P
851,社会保険事業団体,医療，福祉,P
852,福祉事務所,医療，福祉,P
853,児童福祉事業,医療，福祉,P
85A,保育所,医療，福祉,P
85B,その他の児童福祉事業,医療，福祉,P
854,老人福祉・介護事業,医療，福祉,P
85C,特別養護老人ホーム,医療，福祉,P
85D,介護老人保健施設,医療，福祉,P
85E,通所・短期入所介護事業,医療，福祉,P
85F,訪問介護事業,医療，福祉,P
85G,認知症老人グループホーム,医療，福祉,P
85H,有料老人ホーム,医療，福祉,P
85J,その他の老人福祉・介護事業,医療，福祉,P
855,障害者福祉事業,医療，福祉,P
859,その他の社会保険・社会福祉・介護事業,医療，福祉,P
85K,更生保護事業,医療，福祉,P
85L,他に分類されない社会保険・社会福祉・介護事業,医療，福祉,P
860,管理，補助的経済活動を行う事業所,複合サービス事業,Q
861,郵便局,複合サービス事業,Q
862,郵便局受託業,複合サービス事業,Q
870,管理，補助的経済活動を行う事業所,複合サービス事業,Q
871,農林水産業協同組合（他に分類されないもの）,複合サービス事業,Q
872,事業協同組合（他に分類されないもの）,複合サービス事業,Q
880,管理，補助的経済活動を行う事業所,サービス業（他に分類されないもの）,R
881,一般廃棄物処理業,サービス業（他に分類されないもの）,R
882,産業廃棄物処理業,サービス業（他に分類されないもの）,R
889,その他の廃棄物処理業,サービス業（他に分類されないもの）,R
890,管理，補助的経済活動を行う事業所,サービス業（他に分類されないもの）,R
891,自動車整備業,サービス業（他に分類されないもの）,R
900,管理，補助的経済活動を行う事業所,サービス業（他に分類されないもの）,R
901,機械修理業（電気機械器具を除く）,サービス業（他に分類されないもの）,R
902,電気機械器具修理業,サービス業（他に分類されないもの）,R
903,表具業,サービス業（他に分類されないもの）,R
909,その他の修理業,サービス業（他に分類されないもの）,R
910,管理，補助的経済活動を行う事業所,サービス業（他に分類されないもの）,R
911,職業紹介業,サービス業（他に分類されないもの）,R
912,労働者派遣業,サービス業（他に分類されないもの）,R
920,管理，補助的経済活動を行う事業所,サービス業（他に分類されないもの）,R
921,速記・ワープロ入力・複写業,サービス業（他に分類されないもの）,R
922,建物サービス業,サービス業（他に分類されないもの）,R
92A,ビルメンテナンス業,サービス業（他に分類されないもの）,R
92B,その他の建物サービス業,サービス業（他に分類されないもの）,R
923,警備業,サービス業（他に分類されないもの）,R
929,他に分類されない事業サービス業,サービス業（他に分類されないもの）,R
931,経済団体,サービス業（他に分類されないもの）,R
932,労働団体,サービス業（他に分類されないもの）,R
933,学術・文化団体,サービス業（他に分類されないもの）,R
934,政治団体,サービス業（他に分類されないもの）,R
939,他に分類されない非営利的団体,サービス業（他に分類されないもの）,R
941,神道系宗教,サービス業（他に分類されないもの）,R
942,仏教系宗教,サービス業（他に分類されないもの）,R
943,キリスト教系宗教,サービス業（他に分類されないもの）,R
949,その他の宗教,サービス業（他に分類されないもの）,R
950,管理，補助的経済活動を行う事業所,サービス業（他に分類されないもの）,R
951,集会場,サービス業（他に分類されないもの）,R
952,と畜場,サービス業（他に分類されないもの）,R
959,他に分類されないサービス業,サービス業（他に分類されないもの）,R
971,立法機関,公務（他に分類されるものを除く）,S
972,司法機関,公務（他に分類されるものを除く）,S
973,行政機関,公務（他に分類されるものを除く）,S
981,都道府県機関,公務（他に分類されるものを除く）,S
982,市町村機関,公務（他に分類されるものを除く）,S
